Country Name,Country Code,Series Name,Series Code,2024 [YR2024]
Afghanistan,AFG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.538435
Albania,ALB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1357347
Algeria,DZA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7526468
American Samoa,ASM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.3917487
Andorra,AND,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1021324
Angola,AGO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.773019999999999
Anguilla,AIA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.865338
Antigua and Barbuda,ATG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6346032
Argentina,ARG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.235025999999999
Armenia,ARM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.137992
Aruba,ABW,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.9808972
Australia,AUS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.7223205
Austria,AUT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3510615
Azerbaijan,AZE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1348932
"Bahamas, The",BHS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.107257899999999
Bahrain,BHR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.9502434
Bangladesh,BGD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.9500708
Barbados,BRB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4405032
Belarus,BLR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.23226899999999
Belgium,BEL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.2435483
Belize,BLZ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.450078
Benin,BEN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.277262399999999
Bermuda,BMU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6285431
Bhutan,BTN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0912943
Bolivia,BOL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.2544304
Bosnia and Herzegovina,BIH,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.349848899999999
Botswana,BWA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4019336
Brazil,BRA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.2945386
Brunei Darussalam,BRN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.8869612
Bulgaria,BGR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.2880342
Burkina Faso,BFA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.5255615
Burundi,BDI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.8138576
Cabo Verde,CPV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0451434
Cambodia,KHM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6313721
Cameroon,CMR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.728671499999999
Canada,CAN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3622118
Cayman Islands,CYM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.0749224
Central African Republic,CAF,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.268058
Chad,TCD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.0878516
Chile,CHL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.7807061
China,CHN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0712903
Colombia,COL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0133922
Comoros,COM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.2486088
"Congo, Dem. Rep.",COD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.2848458
"Congo, Rep.",COG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.1515624
Cook Islands,COK,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.060701
Costa Rica,CRI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.5818279
Cote d'Ivoire,CIV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1669572
Croatia,HRV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.2858764
Cuba,CUB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.4371482
Cyprus,CYP,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.7395817
Czechia,CZE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.2319075
Denmark,DNK,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.9307059
Djibouti,DJI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.852795899999999
Dominica,DMA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0598246
Dominican Republic,DOM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.207328
Ecuador,ECU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6464312
"Egypt, Arab Rep.",EGY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.499469399999999
El Salvador,SLV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1762422
Equatorial Guinea,GNQ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.3990487
Eritrea,ERI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-2.0353648
Estonia,EST,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3977035
Eswatini,SWZ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6380015
Ethiopia,ETH,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.8332379
Fiji,FJI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0650821999999999
Finland,FIN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.9635191
France,FRA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1461527
French Guiana,GUF,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.0605294
French Polynesia,PYF,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,..
Gabon,GAB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.723457799999999
"Gambia, The",GMB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6640332
Georgia,GEO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6500428
Germany,DEU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.4980615
Ghana,GHA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0898549
Greece,GRC,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4796528
Greenland,GRL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.5034927
Grenada,GRD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0498844
Guam,GUM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.3917487
Guatemala,GTM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.3094252
Guinea,GIN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.8917271
Guinea-Bissau,GNB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.1903185
Guyana,GUY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.4474838
Haiti,HTI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.46341569999999
Honduras,HND,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6280335
"Hong Kong SAR, China",HKG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.7399242
Hungary,HUN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.3350444
Iceland,ISL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3302839
India,IND,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0960695999999999
Indonesia,IDN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1247202
"Iran, Islamic Rep.",IRN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.5113535
Iraq,IRQ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.030546
Ireland,IRL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.7944361
Israel,ISR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1138772
Italy,ITA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6401491
Jamaica,JAM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0908785
Japan,JPN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3296352
Jersey,JEY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.063616
Jordan,JOR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.2760104
Kazakhstan,KAZ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0470549
Kenya,KEN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.3335684
Kiribati,KIR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.5014363
"Korea, Dem. People's Rep.",PRK,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.87415999999999
"Korea, Rep.",KOR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.013674
Kosovo,XKX,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.2229473
Kuwait,KWT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4035133
Kyrgyz Republic,KGZ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.516746399999999
Lao PDR,LAO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.636028199999999
Latvia,LVA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.0998172
Lebanon,LBN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.958879399999999
Lesotho,LSO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.484852
Liberia,LBR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.8418216
Libya,LBY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.7391073
Liechtenstein,LIE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.5359738
Lithuania,LTU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.291591
Luxembourg,LUX,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.8386524
"Macao SAR, China",MAC,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3713907
Madagascar,MDG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.748588599999999
Malawi,MWI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.5849557
Malaysia,MYS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6804759
Maldives,MDV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.2353508
Mali,MLI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7622873
Malta,MLT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4916338
Marshall Islands,MHL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6875722
Martinique,MTQ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6285431
Mauritania,MRT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.778151199999999
Mauritius,MUS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.9400045
Mexico,MEX,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1957883
"Micronesia, Fed. Sts.",FSM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7632717
Moldova,MDA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0467374
Monaco,MCO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1021324
Mongolia,MNG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0707494999999999
Montenegro,MNE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1273183
Morocco,MAR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0266854999999999
Mozambique,MOZ,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7635095
Myanmar,MMR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.4197208
Namibia,NAM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1349052
Nauru,NRU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.524523699999999
Nepal,NPL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.552333499999999
Netherlands,NLD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.7218271
Netherlands Antilles,ANT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,..
New Caledonia,NCL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,..
New Zealand,NZL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.8444942
Nicaragua,NIC,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.991034699999999
Niger,NER,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7624578
Nigeria,NGA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6332954
Niue,NIU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.9049877
North Macedonia,MKD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.2663032
Norway,NOR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.6704537
Oman,OMN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6875152
Pakistan,PAK,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7928043
Palau,PLW,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4811763
Panama,PAN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0738011
Papua New Guinea,PNG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6004013
Paraguay,PRY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1411883
Peru,PER,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0828146
Philippines,PHL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.0792961
Poland,POL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6858353
Portugal,PRT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.7401575
Puerto Rico (US),PRI,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6528081
Qatar,QAT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.9663365
Reunion,REU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6285431
Romania,ROU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.3834547
Russian Federation,RUS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.0682839
Rwanda,RWA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.2696046
Samoa,WSM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.101737899999999
San Marino,SMR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.865338
Sao Tome and Principe,STP,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.8908801
Saudi Arabia,SAU,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.7102575
Senegal,SEN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.241644499999999
Serbia,SRB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.07835
Seychelles,SYC,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.3896741
Sierra Leone,SLE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.0589263
Singapore,SGP,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,2.1321197
Slovak Republic,SVK,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4047054
Slovenia,SVN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.798163
Solomon Islands,SLB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.888466
"Somalia, Fed. Rep.",SOM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.72760539999999
South Africa,ZAF,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.0601163
South Sudan,SSD,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.9295182
Spain,ESP,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6208379
Sri Lanka,LKA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.299213499999999
St. Kitts and Nevis,KNA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4799757
St. Lucia,LCA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1818488
St. Vincent and the Grenadines,VCT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1062006
Sudan,SDN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.6627093
Suriname,SUR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.9187439
Sweden,SWE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.6717941
Switzerland,CHE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.7710562
Syrian Arab Republic,SYR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.9974752
"Taiwan, China",TWN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.2954707
Tajikistan,TJK,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7588053
Tanzania,TZA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.5353705
Thailand,THA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.106412
Timor-Leste,TLS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7342447
Togo,TGO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.408113499999999
Tonga,TON,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1944853
Trinidad and Tobago,TTO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.206573899999999
Tunisia,TUN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.3901173
Turkiye,TUR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.2112376
Turkmenistan,TKM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.6885626
Tuvalu,TUV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.4022096
Uganda,UGA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.5242817
Ukraine,UKR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.300852399999999
United Arab Emirates,ARE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1257177
United Kingdom,GBR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.5112377
United States,USA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3524886
Uruguay,URY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6468484
Uzbekistan,UZB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.526744299999999
Vanuatu,VUT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.324751499999999
"Venezuela, RB",VEN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.9030732
Viet Nam,VNM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.2668063
Virgin Islands (U.S.),VIR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1021324
West Bank and Gaza,PSE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.4676244
"Yemen, Rep.",YEM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.5841279
Zambia,ZMB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.420661199999999
Zimbabwe,ZWE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.1780738
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 03/18/2026,,,,
